Data Set,Avg Accuracy with BCS,Std. Dev,Avg Accuracy without BCS,Std. Dev,Original Component Size,Component size after BCS
zoo, 0.930000,0.067495,0.940000,0.096609,79.200000,6.200000
zoo, 0.960000,0.069921,0.960000,0.051640,86.400000,9.300000
zoo, 0.950000,0.052705,0.950000,0.052705,82.800000,7.900000
zoo, 0.920909,0.062991,0.960909,0.050534,86.400000,8.100000
zoo, 0.920000,0.091894,0.940000,0.051640,79.200000,9.700000
zoo, 0.940000,0.051640,0.940909,0.050933,93.600000,8.300000
zoo, 0.950909,0.051817,0.950909,0.051817,93.600000,7.200000
zoo, 0.960909,0.050534,0.960909,0.050534,86.400000,11.200000
zoo, 0.930909,0.067106,0.940909,0.050933,93.600000,11.300000
zoo, 0.950909,0.051817,0.970000,0.048305,97.200000,8.400000
zoo, 0.920000,0.131656,0.950000,0.097183,97.200000,11.300000
zoo, 0.940000,0.084327,0.930909,0.067106,86.400000,13.800000
yeast, 0.586251,0.037267,0.602403,0.037729,360.000000,2.600000
yeast, 0.583580,0.040234,0.597746,0.037980,360.000000,4.000000
yeast, 0.577544,0.043950,0.593697,0.055128,356.400000,4.500000
yeast, 0.574075,0.037872,0.600399,0.022325,345.600000,5.200000
yeast, 0.594431,0.055487,0.586944,0.037216,360.000000,4.800000
yeast, 0.594359,0.029303,0.607165,0.033522,352.800000,4.500000
yeast, 0.585570,0.033056,0.605746,0.031015,360.000000,5.500000
yeast, 0.595647,0.034022,0.597016,0.023218,360.000000,5.600000
yeast, 0.582836,0.053585,0.593674,0.050715,360.000000,6.300000
yeast, 0.584845,0.027053,0.601025,0.025076,352.800000,5.000000
yeast, 0.569368,0.052862,0.595728,0.044403,360.000000,4.800000
yeast, 0.557265,0.068799,0.594350,0.064188,360.000000,4.300000
wine, 0.972222,0.039284,0.971895,0.054187,176.400000,13.400000
wine, 0.994444,0.017568,0.988889,0.023424,176.400000,13.700000
wine, 0.983007,0.027377,0.988889,0.023424,180.000000,14.200000
wine, 0.977451,0.029126,0.988889,0.023424,176.400000,12.700000
wine, 0.977451,0.029126,0.966340,0.039066,180.000000,12.300000
wine, 0.971895,0.039553,0.988889,0.023424,180.000000,22.100000
wine, 0.988562,0.024126,0.977124,0.040525,180.000000,16.200000
wine, 0.983333,0.026836,0.983007,0.027377,180.000000,16.500000
wine, 0.988889,0.023424,0.983333,0.026836,180.000000,18.300000
wine, 0.988889,0.023424,1.000000,0.000000,183.600000,16.300000
wine, 0.983007,0.027377,0.977451,0.029126,180.000000,17.600000
wine, 0.977778,0.028689,0.949346,0.066587,176.400000,16.300000
wdbc, 0.956140,0.039878,0.971930,0.027678,176.400000,7.100000
wdbc, 0.964881,0.046034,0.971898,0.025071,180.000000,9.100000
wdbc, 0.954292,0.028914,0.971867,0.014829,180.000000,9.100000
wdbc, 0.964912,0.028649,0.966667,0.027985,180.000000,16.200000
wdbc, 0.959618,0.028681,0.966573,0.019413,180.000000,18.000000
wdbc, 0.950783,0.031829,0.968421,0.023098,187.200000,12.300000
wdbc, 0.963127,0.026710,0.970144,0.020321,183.600000,16.900000
wdbc, 0.971836,0.017102,0.968390,0.018093,180.000000,12.600000
wdbc, 0.947274,0.034100,0.971867,0.025105,180.000000,14.800000
wdbc, 0.956078,0.025129,0.966604,0.031442,180.000000,10.900000
wdbc, 0.957801,0.027719,0.971898,0.016928,183.600000,15.600000
wdbc, 0.966635,0.025402,0.966635,0.026714,180.000000,10.600000
waveformV2, 0.865600,0.020695,0.862000,0.018785,540.000000,3.000000
waveformV2, 0.857800,0.019742,0.862200,0.011564,540.000000,3.700000
waveformV2, 0.863400,0.015522,0.863600,0.015138,540.000000,4.800000
waveformV2, 0.863000,0.017185,0.863200,0.017669,540.000000,4.200000
waveformV2, 0.868800,0.015002,0.866400,0.017354,540.000000,4.800000
